URL,Page Type,Keyword,Clicks,Impressions,CTR,Position,Title,Meta Description,H1,Status,Canonical,Indexability,Issue,Priority,AI Recommendation,Human Review,Status
https://www.paytm.com/blog/personal-loan-guide,Blog,Personal Loan Guide,5400,122000,4.43%,16.7,Personal Loan Guide,"Complete guide to personal loans, eligibility, documents and application process.",Personal Loan Guide,200,https://www.paytm.com/blog/personal-loan-guide,INDEXABLE,Low CTR,Low,Analyze GSC queries and recommend improved title and meta description.,Review,Open
https://www.paytm.com/rewards,Rewards,Paytm Rewards,2300,62000,3.71%,21.4,Paytm Rewards,Explore rewards and benefits available to Paytm users.,Paytm Rewards,200,https://www.paytm.com/rewards,INDEXABLE,Poor Ranking,Medium,"Analyze content depth, internal links and search intent for improvement.",Review,Open
https://www.paytm.com/credit-card,Credit Card,Credit Card,6700,158000,4.24%,13.9,Best Credit Card Options | Paytm,Explore credit card options and compare benefits online.,Credit Cards,200,https://www.paytm.com/credit-card,INDEXABLE,Low CTR,Low,Analyze GSC queries and recommend improved title and meta description.,Review,Open
https://www.paytm.com/contact,Utility,Paytm Contact,1200,28000,4.29%,9.1,Contact Paytm,Contact Paytm customer support and find help for your account.,Contact Paytm,200,https://www.paytm.com/contact,INDEXABLE,No Critical Issue,Low,No immediate action required.,Review,Open
https://www.paytm.com/old-loan-page,Loan,Personal Loan Online,800,21000,3.81%,24.6,Personal Loan Online | Paytm,Apply for a personal loan online with Paytm.,Personal Loan Online,404,https://www.paytm.com/old-loan-page,NOT INDEXABLE,404 Error,Critical,Review URL and recommend a relevant 301 redirect.,Review,Open
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
,,,,,,,,,,,,,,,,Review,
